Processing Plant State	Total Cartons	Positive Cartons	Negative Cartons	Latest Date Sampled
CA	1	0	1	2024-05-20
CO	13	9	4	2024-10-07
FL	1	0	1	2024-05-20
IA	10	0	10	2024-07-30
ID	1	0	1	2024-05-20
IL	3	0	3	2024-06-17
IN	6	1	5	2024-07-02
KS	2	0	2	2024-07-02
KY	4	1	3	2024-07-02
MI	19	15	4	2024-10-07
MN	6	0	6	2024-07-02
MO	3	1	2	2024-09-10
NC	2	0	2	2024-09-24
NY	5	1	4	2024-09-24
OH	3	0	3	2024-07-28
OR	1	0	1	2024-05-20
TX	2	1	1	2024-06-05
UT	1	0	1	2024-05-02
VA	2	0	2	2024-07-02
WI	103	10	93	2024-10-07
